gender,date,racer_id,anon_category,anon_age,anon_time,anon_place
Female,2023-09-10,597bcf13f7,Training,11.0,1011.602004486111,1.0
Female,2023-09-10,c19fe3123a,Training,7.0,1175.923188856779,1.0
Female,2023-09-10,43bf62dcc3,Training,9.0,1618.55102525523,3.0
Female,2023-09-10,6a1dd8d491,Training,3.0,1734.0246092338507,5.0
Female,2023-09-10,0ff9c25182,Training,4.0,,
Female,2023-09-10,597bcf13f7,Training,5.0,1008.6382994200067,3.0
Female,2023-09-10,c19fe3123a,Training,6.0,1178.746122880986,1.0
Female,2023-09-10,43bf62dcc3,Training,8.0,1619.3284601793378,2.0
Female,2023-09-10,6a1dd8d491,Training,7.0,1736.6787043371705,4.0
Female,2023-09-10,0ff9c25182,Training,4.0,,
Female,2023-09-23,c19fe3123a,Training,7.0,737.2437085695873,3.0
Female,2023-09-23,9f4f6053a2,Training,6.0,767.4270444058184,3.0
Female,2023-09-23,73047fd8de,Training,8.0,,1.0
Female,2023-09-23,163e865961,Training,5.0,,
Female,2023-09-23,96f9583338,Training,4.0,,
Female,2023-10-08,1a91dd5d2a,Training,8.0,,2.0
Female,2023-10-08,c19fe3123a,Training,6.0,,3.0
Female,2023-10-08,3bdff29698,Training,7.0,,1.0
Female,2023-10-08,73047fd8de,Training,8.0,,2.0
Female,2023-10-08,5d7e818003,Training,6.0,,3.0
Female,2023-10-08,6aecd5dd75,Training,5.0,,7.0
Female,2023-10-08,1ce7e61430,Training,8.0,,7.0
Female,2023-10-22,c19fe3123a,Training,3.0,864.842451066887,2.0
Female,2023-10-22,bf7e06ad16,Training,10.0,940.1835395302841,4.0
Female,2023-10-22,73047fd8de,Training,4.0,993.2053156818384,3.0
Female,2023-10-22,470c2c907a,Training,5.0,998.1883338226427,3.0
Female,2023-10-22,43bf62dcc3,Training,6.0,1331.367202896753,6.0
Female,2023-10-22,1a91dd5d2a,Training,10.0,,4.0
Female,2023-11-05,c19fe3123a,Training,7.0,661.3438680956841,1.0
Female,2023-11-05,73047fd8de,Training,8.0,711.3185225295895,3.0
Female,2023-11-05,bf7e06ad16,Training,10.0,727.8790567981079,1.0
Female,2023-11-19,c19fe3123a,Training,8.0,895.164485645868,1.0
Female,2023-11-19,470c2c907a,Training,6.0,946.162412480514,2.0
Female,2023-11-19,8e9ba594d0,Training,6.0,965.0429347892706,2.0
Female,2023-11-19,73047fd8de,Training,6.0,1100.3919665225374,4.0
Female,2023-11-19,43bf62dcc3,Training,4.0,1600.3330305944396,5.0
Female,2024-09-08,c19fe3123a,Training,5.0,1025.7950729692616,1.0
Female,2024-09-08,739f4e86c0,Training,5.0,1041.4642554634506,1.0
Female,2024-09-08,73047fd8de,Training,10.0,1061.7990126746554,1.0
Female,2024-09-21,9059318fc5,Training,4.0,689.6239183486057,2.0
Female,2024-09-21,c19fe3123a,Training,5.0,718.5800036127025,1.0
Female,2024-09-21,73047fd8de,Training,8.0,791.4067650528808,4.0
Female,2024-09-21,739f4e86c0,Training,9.0,858.6940797008191,4.0
