gender,date,racer_id,anon_category,anon_age,anon_time,anon_place,z_fast,z_score,iforest_fast,iforest_raw,fast_outliers
Male,2024-09-21,eefbbd795e,Maintain,65.0,367.5290601446937,4.0,False,-1.5396835560988102,True,-1.0,1
Male,2024-11-17,eefbbd795e,Maintain,65.0,445.7547422723867,6.0,False,-0.39610032673045337,True,-1.0,1
Female,2024-09-21,b770285de5,Score,18.0,408.6246700119732,1.0,False,-1.9842300456788458,True,-1.0,1
Female,2024-09-21,38e31e3d3b,Score,16.0,417.5651137528866,1.0,False,-1.8627342065718961,True,-1.0,1
Female,2024-09-21,a886957c78,Score,13.0,424.8375710295514,1.0,False,-1.7639054096124782,True,-1.0,1
Female,2024-09-21,56443d0036,Score,34.0,425.44307574774206,2.0,False,-1.7556769249922868,True,-1.0,1
Female,2024-11-03,2832d86d60,Score,58.0,488.8437171465794,4.0,False,-0.8940961858372097,True,-1.0,1
Male,2023-09-23,bfaf9848d0,His,44.0,394.54299801661216,5.0,False,-1.0420733861372302,True,-1.0,1
Male,2023-09-23,0252f4a473,His,11.0,404.70600912788115,9.0,False,-0.9209564547808627,True,-1.0,1
Male,2023-10-08,0252f4a473,His,12.0,428.0774599823121,6.0,False,-0.6424289221585564,True,-1.0,1
Male,2024-09-08,5deeaa093f,His,33.0,300.3722648736966,7.0,False,-2.164346115840579,True,-1.0,1
Male,2024-09-21,36f37d69cc,His,16.0,372.15023422794036,2.0,False,-1.308937488220581,True,-1.0,1
Male,2024-09-21,bfaf9848d0,His,42.0,373.38627442397365,4.0,False,-1.294207070833683,True,-1.0,1
Male,2024-09-21,fa8cda26c8,His,11.0,388.5252881106058,13.0,False,-1.1137889977437296,True,-1.0,1
Male,2024-09-21,f08ce0bc6b,His,12.0,390.3965487512268,17.0,False,-1.091488387808485,True,-1.0,1
Male,2024-09-21,8131d08a6a,His,11.0,410.54104151139177,22.0,False,-0.8514178890036189,True,-1.0,1
Male,2024-10-20,31e75baa26,His,45.0,429.95526842579915,23.0,False,-0.6200502792681594,True,-1.0,1
Male,2024-10-20,d661ae1c02,His,11.0,419.24436880135437,,False,-0.747696631355719,True,-1.0,1
Male,2024-11-03,f95504e339,His,45.0,440.2431140898954,19.0,False,-0.4974456413846466,True,-1.0,1
Male,2023-09-23,75a301de04,Property,56.0,409.0349634689222,7.0,False,-1.1206843380068148,True,-1.0,1
Male,2023-09-23,fe4508b914,Property,38.0,412.4145192429391,11.0,False,-1.0834993684399423,True,-1.0,1
Male,2023-09-23,de1f7bffcb,Property,58.0,417.2868379484117,24.0,False,-1.0298896531702468,True,-1.0,1
Male,2023-09-23,5d87dda0ef,Property,62.0,452.0313255577087,28.0,False,-0.6475989615055671,True,-1.0,1
Male,2023-10-08,de1f7bffcb,Property,63.0,452.56700655966364,8.0,False,-0.6417049082372676,True,-1.0,1
Male,2023-10-22,de1f7bffcb,Property,60.0,465.8191706103822,7.0,False,-0.49589245539662274,True,-1.0,1
Male,2023-10-22,e96b9bf1d1,Property,61.0,482.6116757295805,19.0,False,-0.3111259258397666,True,-1.0,1
Male,2024-09-08,fcd67a2c4b,Property,45.0,339.33959322863905,15.0,False,-1.8875366685000787,True,-1.0,1
Male,2024-11-03,601cbaef20,Property,37.0,465.72348989081314,11.0,False,-0.4969452223527609,True,-1.0,1
Male,2024-09-21,dc8bdc7958,Air,54.0,376.1897143882619,1.0,False,-1.8350532606156937,True,-1.0,1
Male,2024-09-21,de1f7bffcb,Air,62.0,392.9310096895848,10.0,False,-1.5041150296628099,True,-1.0,1
Male,2024-09-21,f2dcee9e26,Air,64.0,402.5867382915771,22.0,False,-1.3132427175393875,True,-1.0,1
Male,2024-10-20,f2dcee9e26,Air,66.0,453.11731166437846,28.0,False,-0.3143654944783762,True,-1.0,1
Male,2024-09-21,5bd2a88bc3,Prove,68.0,396.19054266286344,6.0,False,-1.6075987366947937,True,-1.0,1
Male,2024-10-06,e96b9bf1d1,Prove,56.0,494.26890747658126,1.0,False,-0.07668305624984065,True,-1.0,1
Female,2023-10-22,71d4380781,Go,36.0,550.0029948382056,5.0,False,-0.5815602298896749,True,-1.0,1
Female,2024-09-21,c51caa876e,Go,43.0,430.16944355763843,1.0,False,-1.7959878657523407,True,-1.0,1
Female,2024-09-21,fb81cca788,Go,51.0,450.3679616265437,4.0,False,-1.5912902807753373,True,-1.0,1
Female,2024-09-21,7330264901,Performance,52.0,445.40086060087407,1.0,False,-2.064699057914423,True,-1.0,1
Female,2024-09-21,affa2a337a,Performance,51.0,468.25669544258244,4.0,False,-1.7666945397023155,True,-1.0,1
Female,2024-11-03,abda721763,Performance,47.0,519.5741210145549,1.0,False,-1.0975951701376438,True,-1.0,1
Female,2024-09-21,9989fe183d,Cup,73.0,457.772895643996,3.0,False,-1.5193519287413935,True,-1.0,1
Female,2024-09-21,04417e608b,And,26.0,405.2781136803531,1.0,False,-1.8266871191085616,True,-1.0,1
Female,2024-09-21,ab6552684d,And,53.0,462.6205236253326,12.0,False,-1.3205292158837203,True,-1.0,1
Female,2024-10-20,4ec7098eca,And,58.0,572.9745478362225,19.0,False,-0.34644107482717607,True,-1.0,1
Male,2023-09-23,71873d2ed6,In,19.0,396.6976680258037,3.0,False,-1.5952358256420922,True,-1.0,1
Male,2023-09-23,1ecb67c421,In,16.0,413.6858983854383,2.0,False,-1.3928155400462077,True,-1.0,1
Male,2023-10-22,613a8fdab8,In,57.0,483.58203866322464,5.0,False,-0.5599803136828286,True,-1.0,1
Male,2024-09-21,8f4d723972,In,41.0,382.8853095362749,3.0,False,-1.759814565806014,True,-1.0,1
Male,2024-09-21,31e42daad4,In,41.0,386.01972153677536,2.0,False,-1.722467028194091,True,-1.0,1
Male,2024-09-21,14e3e44b15,In,14.0,396.98813468159983,8.0,False,-1.5917748210419873,True,-1.0,1
Male,2024-09-21,95b79970fb,In,16.0,411.6874409989654,18.0,False,-1.416627809267741,True,-1.0,1
Male,2024-09-21,cb209394bb,In,57.0,424.62052218638456,26.0,False,-1.2625259439073249,True,-1.0,1
Male,2024-10-20,14e3e44b15,In,14.0,423.48896414434773,3.0,False,-1.2760088257136406,True,-1.0,1
Male,2024-10-20,da73e135c7,In,53.0,459.3731064276575,34.0,False,-0.8484376087250838,True,-1.0,1
